"TOA5","CR800 LT directe","CR800","3021","CR800.Std.04","CPU:CR800LISITREN final01.CR8","57524","Table1"
"TIMESTAMP","RECORD","Batt_Volt","SlrkW","SlrkW_2","SlrkW_3","PC1","PCC1","PC2","PCC2"
"TS","RN","Volts","W/m²","W/m²","W/m²","Counts","","Counts",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2010-09-30 06:55:18.7",0,15.76,33.96,37.36,33.96,1,1,0,0
"2010-09-30 06:55:19.26",1,15.77,33.96,33.96,33.96,1,2,0,0
"2010-09-30 06:55:19.68",2,15.7,33.96,33.96,33.96,1,3,0,1
"2010-09-30 06:55:20.38",3,15.75,32.26,33.96,33.96,1,4,0,3
"2010-09-30 06:55:20.52",4,15.76,30.57,33.96,33.96,1,5,0,3
"2010-09-30 06:55:20.94",5,15.77,30.57,30.57,30.57,1,6,0,3
"2010-09-30 06:55:21.08",6,15.77,30.57,30.57,30.57,1,7,0,3
"2010-09-30 06:55:21.36",7,15.76,30.57,30.57,30.57,1,8,0,3
"2010-09-30 06:55:21.64",8,15.76,30.57,30.57,30.57,1,9,0,3
"2010-09-30 06:55:21.78",9,15.76,27.17,30.57,30.57,1,10,0,3
"2010-09-30 06:55:22.06",10,15.76,27.17,28.87,27.17,1,11,0,3
"2010-09-30 06:55:22.34",11,15.77,27.17,27.17,27.17,1,12,0,3
"2010-09-30 06:55:22.48",12,15.76,27.17,27.17,27.17,1,13,0,3
"2010-09-30 06:55:22.62",13,15.76,27.17,27.17,27.17,1,14,0,3
"2010-09-30 06:55:22.9",14,15.76,25.47,27.17,27.17,1,15,0,3
"2010-09-30 06:55:23.04",15,15.76,23.77,27.17,23.77,1,16,0,3
"2010-09-30 06:55:23.18",16,15.76,23.77,25.47,23.77,1,17,0,3
"2010-09-30 06:55:23.46",17,15.77,23.77,23.77,23.77,1,18,0,3
"2010-09-30 06:55:23.6",18,15.76,23.77,23.77,23.77,1,19,0,3
"2010-09-30 06:55:23.74",19,15.76,23.77,23.77,23.77,1,20,0,3
"2010-09-30 06:55:23.88",20,15.69,23.77,23.77,23.77,1,21,0,3
"2010-09-30 06:55:24.16",21,15.75,20.38,23.77,23.77,1,22,0,3
"2010-09-30 06:55:24.3",22,15.76,20.38,23.77,22.08,1,23,0,3
"2010-09-30 06:55:24.44",23,15.76,20.38,23.77,20.38,1,24,0,3
"2010-09-30 06:55:24.72",24,15.76,20.38,20.38,20.38,1,25,0,3
"2010-09-30 06:55:24.86",25,15.76,20.38,20.38,20.38,1,26,0,3
"2010-09-30 06:55:25",26,15.76,20.38,20.38,20.38,1,27,0,3
"2010-09-30 06:55:25.14",27,15.76,20.38,20.38,20.38,1,28,0,3
"2010-09-30 06:55:25.42",28,15.76,20.38,20.38,20.38,1,29,0,3
"2010-09-30 06:55:25.56",29,15.76,20.38,20.38,20.38,1,30,0,3
"2010-09-30 06:55:25.7",30,15.76,20.38,20.38,20.38,1,31,0,3
"2010-09-30 06:55:25.84",31,15.76,20.38,20.38,20.38,1,32,0,3
"2010-09-30 06:55:26.12",32,15.76,20.38,20.38,20.38,1,33,0,3
"2010-09-30 06:55:26.26",33,15.76,20.38,20.38,20.38,1,34,0,3
"2010-09-30 06:55:26.4",34,15.76,20.38,20.38,20.38,1,35,0,3
