;Registro;Via;X;Y;Valizas Acum.;Valiza;mm de via;Distancia al origen;???
0;1;1.0;4025.0;250.0;0;0;;0.0;0
1;2;2.0;3853.0;250.0;0;0;172.0;172.0;0
2;3;3.0;3681.0;250.0;0;0;172.0;344.0;0
3;4;4.0;3509.0;250.0;0;0;172.0;516.0;0
4;5;5.0;3337.0;250.0;1;1;172.0;688.0;0
5;6;5.0;3337.0;250.0;2;1;0.0;688.0;0
6;7;5.0;3337.0;250.0;3;1;0.0;688.0;0
7;8;6.0;3149.0;250.0;0;0;188.0;876.0;0
8;9;7.0;2960.0;250.0;0;0;189.0;1065.0;0
9;10;8.0;2772.0;250.0;0;0;188.0;1253.0;0
10;11;9.0;2584.0;250.0;0;0;188.0;1441.0;0
11;12;10.0;2396.0;250.0;0;0;188.0;1629.0;0
12;13;11.0;2208.0;250.0;0;0;188.0;1817.0;0
13;14;12.0;2019.0;250.0;0;0;189.0;2006.0;0
14;15;13.0;1790.0;250.0;0;0;229.0;2235.0;0
15;16;14.0;1696.0;250.0;4;1;94.0;2329.0;21
16;17;15.0;1602.0;250.0;0;0;94.0;2423.0;0
17;18;16.0;1508.0;250.0;0;0;94.0;2517.0;0
18;19;17.0;1414.0;250.0;0;0;94.0;2611.0;0
19;20;18.0;1319.0;250.0;0;0;95.0;2706.0;0
20;21;19.0;1242.0;250.0;0;0;77.0;2783.0;0
21;22;20.0;1164.0;250.0;0;0;78.0;2861.0;0
22;23;21.0;1087.0;250.0;0;0;77.0;2938.0;0
23;24;22.0;1009.0;250.0;0;0;78.0;3016.0;0
24;25;23.0;938.0;250.0;0;0;71.0;3087.0;0
25;26;24.0;861.0;250.0;0;0;77.0;3164.0;0
26;27;25.0;672.0;250.0;0;0;189.0;3353.0;0
27;28;26.0;608.0;250.0;0;0;64.0;3417.0;0
28;29;27.0;537.0;250.0;0;0;71.0;3488.0;0
29;30;28.0;460.0;250.0;5;1;77.0;3565.0;38
30;31;;4.286.239.326;2.513.699.087;0;0;314.059.589;3.596.405.959;0
31;32;;397.486.656;2.554.692.089;0;0;314.059.589;3.627.811.918;0
32;33;;3.668.251.438;2.622.667.025;0;0;314.059.589;3.659.217.877;0
33;34;;3.368.727.484;2.717.106.565;0;0;314.059.589;3.690.623.836;0
34;35;;3.078.574.258;2.837.291.967;0;0;314.059.589;3.722.029.795;0
35;36;29.0;280.0;299.0;0;0;3.176.843.725;3.753.798.232;0
36;37;;2.535.124.829;3.151.052.641;0;0;3.099.948.535;3.784.797.717;0
37;38;;2.285.964.605;3.342.240.005;0;0;314.059.589;3.816.203.676;0
38;39;;2.054.415.588;3.554.415.588;0;0;314.059.589;3.847.609.635;0
39;40;;1.842.240.005;3.785.964.605;0;0;314.059.589;3.879.015.594;0
40;41;;1.651.052.641;4.035.124.829;0;0;314.059.589;3.910.421.553;0
41;42;30.0;148.0;431.0;0;0;3.237.520.122;3.942.796.754;0
42;43;;1.337.291.967;4.578.574.258;0;0;3.041.343.695;3.973.210.191;0
43;44;;1.217.106.565;4.868.727.484;0;0;314.059.589;400.461.615;0
44;45;;1.122.667.025;5.168.251.438;0;0;314.059.589;4.036.022.109;0
45;46;;1.054.692.089;547.486.656;0;0;314.059.589;4.067.428.068;0
46;47;;1.013.699.087;5.786.239.326;0;0;314.059.589;4.098.834.026;0
47;48;31.0;100.0;611.0;6;1;3.240.503.648;4.131.239.063;45
